player_id,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_name,nationality_id,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
226177.0,Rebecca Elizabeth Sauerbrunn,CB,86.0,86.0,52800000.0,1600.0,37.0,1985,170.0,64.0,Undetermined,95.0,United States,Right,3.0,3.0,4.0,Medium/High,Normal (170-185),"#Tackling, #Strength","Leadership, Team Player",68.0,44.0,61.0,69.0,89.0,84.0,51.0,39.0,86.0,71.0,37.0,65.0,54.0,38.0,63.0,74.0,69.0,67.0,60.0,79.0,63.0,47.0,86.0,73.0,91.0,47.0,78.0,88.0,50.0,61.0,56.0,82.0,92.0,87.0,89.0,15.0,12.0,7.0,10.0,11.0,0.0,61.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,68.0,68.0,68.0,64.0,76.0,79.0,79.0,79.0,76.0,78.0,86.0,86.0,86.0,78.0,19.0
226293.0,Nadine Angerer,GK,86.0,86.0,15157769.097222222,787.8472222222222,36.0,1978,175.0,71.0,Undetermined,21.0,Germany,Right,3.0,1.0,4.0,Medium/Medium,Stocky (170-185),#nothing,1-on-1 Rush,70.7581881533101,59.28362369337979,64.27665505226481,68.93519163763067,57.58327526132404,66.28292682926829,10.0,8.0,8.0,21.999999999999993,8.0,9.0,8.999999999999993,22.0,21.0,21.0,34.0,32.0,41.0,82.0,42.0,23.0,76.0,31.0,76.0,9.0,22.0,13.0,12.0,44.0,23.0,62.82059380922299,7.0,7.0,8.0,81.0,87.0,73.0,91.0,83.0,33.0,24.0,24.0,24.0,23.0,25.0,25.0,25.0,23.0,26.0,26.0,26.0,25.0,26.0,26.0,26.0,25.0,22.0,24.0,24.0,24.0,22.0,21.0,24.0,24.0,24.0,21.0,84.0
226301.0,Alexandra Morgan Carrasco,ST,90.0,90.0,118200000.0,2800.0,32.0,1989,168.0,62.0,Undetermined,95.0,United States,Left,4.0,4.0,5.0,High/Low,Unique,#Clinical Finisher,"Leadership, Finesse Shot, Flair, Speed Dribbler (AI), Outside Foot Shot, Team Player",89.0,91.0,80.0,88.0,47.0,77.0,71.0,95.0,86.0,91.0,87.0,87.0,68.0,70.0,82.0,93.0,88.0,89.0,83.0,84.0,67.0,90.0,81.0,87.0,81.0,83.0,53.0,46.0,92.0,75.0,88.0,92.0,41.0,43.0,39.0,11.0,11.0,10.0,10.0,11.0,0.0,90.0,90.0,90.0,87.0,89.0,89.0,89.0,87.0,87.0,87.0,87.0,86.0,82.0,82.0,82.0,86.0,69.0,67.0,67.0,67.0,69.0,66.0,60.0,60.0,60.0,66.0,19.0
226302.0,Alexandra Popp,"ST, LM",87.0,87.0,58900000.0,2000.0,31.0,1991,174.0,65.0,Undetermined,21.0,Germany,Left,5.0,3.0,4.0,High/High,Normal (170-185),"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward","Injury Prone, Leadership, Power Header, Outside Foot Shot, Team Player",79.0,88.0,76.0,82.0,55.0,82.0,74.0,87.0,92.0,84.0,89.0,82.0,73.0,73.0,59.0,86.0,78.0,79.0,71.0,89.0,70.0,89.0,88.0,80.0,82.0,87.0,84.0,59.0,90.0,79.0,86.0,81.0,45.0,52.0,48.0,12.0,14.0,13.0,7.0,14.0,0.0,87.0,87.0,87.0,83.0,85.0,85.0,85.0,83.0,83.0,83.0,83.0,81.0,78.0,78.0,78.0,81.0,70.0,69.0,69.0,69.0,70.0,68.0,67.0,67.0,67.0,68.0,20.0
226303.0,Almuth Schult,GK,84.0,84.0,21395000.0,890.0,31.0,1991,180.0,71.0,Undetermined,21.0,Germany,Right,2.0,1.0,3.0,Medium/Medium,Stocky (170-185),#nothing,Saves with Feet,69.2,35.8,46.6,52.4,60.2,62.8,11.0,11.0,11.0,25.0,13.0,9.0,14.0,25.0,24.0,23.0,35.0,42.0,35.0,78.0,40.0,62.0,61.0,30.0,78.0,11.0,35.0,13.0,13.0,34.0,20.0,45.0,17.0,10.0,11.0,84.0,83.0,82.0,86.0,84.0,38.0,29.0,29.0,29.0,24.0,27.0,27.0,27.0,24.0,26.0,26.0,26.0,25.0,26.0,26.0,26.0,25.0,24.0,27.0,27.0,27.0,24.0,24.0,27.0,27.0,27.0,24.0,83.0
226304.0,Annike Krahn,CB,82.0,82.0,18840000.0,910.0,30.0,1985,172.0,60.0,Undetermined,21.0,Germany,Right,3.0,2.0,3.0,Medium/Medium,Normal (170-185),#Tackling ,nothing,52.0,41.0,52.0,47.0,86.0,79.0,34.0,33.0,78.0,61.0,37.0,41.0,45.0,49.0,69.0,53.0,53.0,51.0,46.0,80.0,49.0,52.0,81.0,64.0,83.0,46.0,85.0,81.0,31.000000000000004,44.0,67.0,62.0,87.0,90.0,85.0,8.0,7.0,9.0,13.0,7.000000000000002,0.0,52.0,52.0,52.0,47.0,49.0,49.0,49.0,47.0,50.0,50.0,50.0,50.0,59.0,59.0,59.0,50.0,66.0,74.0,74.0,74.0,66.0,70.0,81.0,81.0,81.0,70.0,17.0
226305.0,Josephine Henning,CB,79.0,80.0,12540000.0,750.0,27.0,1989,175.0,68.0,Undetermined,21.0,Germany,Right,3.0,2.0,2.0,Medium/Medium,Normal (170-185),#nothing,nothing,56.0,44.0,50.0,49.0,81.0,78.0,43.0,30.0,83.0,57.0,39.0,44.0,33.0,49.0,64.0,54.0,59.0,54.0,52.0,72.0,48.0,64.0,77.0,62.0,86.0,56.0,77.0,71.0,31.000000000000004,41.0,69.0,65.0,82.0,86.0,80.0,6.0,7.0,7.0,12.0,6.0,0.0,53.0,53.0,53.0,48.0,49.0,49.0,49.0,48.0,50.0,50.0,50.0,50.0,56.0,56.0,56.0,50.0,64.0,69.0,69.0,69.0,64.0,68.0,78.0,78.0,78.0,68.0,15.0
226306.0,Célia Šašić,ST,85.0,87.0,19840000.0,1170.0,27.0,1988,174.0,61.0,Undetermined,21.0,Germany,Right,4.0,3.0,4.0,High/Medium,Normal (170-185),#nothing,nothing,75.0,84.0,66.0,78.0,36.0,79.0,65.0,87.0,85.0,67.0,84.0,77.0,55.0,61.0,55.0,81.0,78.0,72.0,74.0,91.0,73.0,86.0,79.0,77.0,81.0,75.0,77.0,33.0,90.0,75.0,76.0,73.2,18.999999999999996,38.0,33.0,14.0,7.0,15.0,7.0,13.0,0.0,83.0,83.0,83.0,78.0,81.0,81.0,81.0,78.0,77.0,77.0,77.0,76.0,71.0,71.0,71.0,76.0,58.0,57.0,57.0,57.0,58.0,56.0,54.0,54.0,54.0,56.0,19.0
226307.0,Simone Melanie Laudehr,"RM, LM, CM, CB",82.0,82.0,47600000.0,1400.0,30.0,1986,174.0,56.0,Undetermined,21.0,Germany,Right,3.0,3.0,3.0,High/High,Lean (170-185),#Engine,"Early Crosser, Speed Dribbler (AI)",80.0,79.0,78.0,76.0,78.0,79.0,78.0,79.0,79.0,81.0,66.0,77.0,59.0,62.0,80.0,79.0,81.0,80.0,73.0,77.0,62.0,78.0,72.0,89.0,77.0,80.0,71.0,82.0,82.0,81.0,82.0,79.0,77.0,79.0,72.0,5.0,5.0,14.0,8.0,8.0,0.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,79.0,79.0,79.0,79.0,79.0,79.0,77.0,77.0,77.0,79.0,15.0
226308.0,Dzsenifer Marozsán,"CAM, CM",84.0,84.0,40500000.0,2000.0,30.0,1992,171.0,67.0,Lyon W,21.0,Germany,Right,4.0,5.0,5.0,High/Low,Normal (170-185),"#Dribbler, #Crosser, #FK Specialist","Injury Prone, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",77.0,82.0,87.0,86.0,57.0,73.0,89.0,78.0,61.0,88.0,88.0,89.0,92.0,89.0,80.0,89.0,78.0,76.0,80.0,80.0,68.0,89.0,67.0,64.0,79.0,83.0,73.0,69.0,80.0,85.0,90.0,86.0,55.0,53.0,51.0,8.0,10.0,15.0,9.0,12.0,0.0,80.0,80.0,80.0,84.0,83.0,83.0,83.0,84.0,84.0,84.0,84.0,83.0,81.0,81.0,81.0,83.0,73.0,72.0,72.0,72.0,73.0,69.0,65.0,65.0,65.0,69.0,18.0
