index,avg_price,zipcode,city,suburb,bathrooms,bedrooms,index,avg_price_melb,Postcode,CouncilArea,Suburb,Bathroom,Bedroom2
77,62.0,3000.0,Boroondara,Melbourne,1.0,0.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
77,62.0,3000.0,Boroondara,Melbourne,1.0,0.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
77,62.0,3000.0,Boroondara,Melbourne,1.0,0.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
77,62.0,3000.0,Boroondara,Melbourne,1.0,0.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
77,62.0,3000.0,Boroondara,Melbourne,1.0,0.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
78,133.0,3000.0,Casey,Melbourne,1.0,1.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
78,133.0,3000.0,Casey,Melbourne,1.0,1.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
78,133.0,3000.0,Casey,Melbourne,1.0,1.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
78,133.0,3000.0,Casey,Melbourne,1.0,1.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
78,133.0,3000.0,Casey,Melbourne,1.0,1.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
79,161.0,3000.0,Melbourne,,2.0,2.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
79,161.0,3000.0,Melbourne,,2.0,2.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
79,161.0,3000.0,Melbourne,,2.0,2.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
79,161.0,3000.0,Melbourne,,2.0,2.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
79,161.0,3000.0,Melbourne,,2.0,2.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
80,75.0,3000.0,Melbourne,Carlton,1.0,1.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
80,75.0,3000.0,Melbourne,Carlton,1.0,1.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
80,75.0,3000.0,Melbourne,Carlton,1.0,1.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
80,75.0,3000.0,Melbourne,Carlton,1.0,1.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
80,75.0,3000.0,Melbourne,Carlton,1.0,1.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
81,100.0,3000.0,Melbourne,Docklands,1.0,1.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
81,100.0,3000.0,Melbourne,Docklands,1.0,1.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
81,100.0,3000.0,Melbourne,Docklands,1.0,1.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
81,100.0,3000.0,Melbourne,Docklands,1.0,1.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
81,100.0,3000.0,Melbourne,Docklands,1.0,1.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
82,136.0,3000.0,Melbourne,Melborne,1.0,2.0,0,444333.3333333333,3000.0,Melbourne,Melbourne,1.0,1.0
82,136.0,3000.0,Melbourne,Melborne,1.0,2.0,1,548750.0,3000.0,Melbourne,Melbourne,1.0,2.0
82,136.0,3000.0,Melbourne,Melborne,1.0,2.0,2,838071.4285714285,3000.0,Melbourne,Melbourne,2.0,2.0
82,136.0,3000.0,Melbourne,Melborne,1.0,2.0,3,971250.0,3000.0,Melbourne,Melbourne,2.0,3.0
82,136.0,3000.0,Melbourne,Melborne,1.0,2.0,4,1850000.0,3000.0,Melbourne,Melbourne,2.0,4.0
